,CompanyName,RegAddress.County, CompanyNumber
103386,A1 QUALITY CONSTRUCTION LIMITED,,11628047
191740,AGM PLASTICS LIMITED,CLWYD,06119876
586226,BISHOP & SEWELL SECRETARIES LIMITED,,05467422
223495,ALBENATEM LTD,,12821212
522073,BEAUTY INTERNATIONAL LIMITED,KENT,01823031
515251,BEACON DIAMOND DEVELOPMENTS LTD.,,02541903
158816,ADD TALENT NETWORK LIMITED,,08624288
588870,BITTERLEY BIOGAS AD LIMITED,,10226420
394057,ASSAY HOUSE SERVICE COMPANY LIMITED,,12955620
724963,BUNCHER AND HASELER LIMITED,BIRMINGHAM,00117645
646181,BOSS BUSINESS INTERIORS LIMITED,MID GLAMORGAN,06238441
93580,A-RICH NUTRITION LTD,,11590481
175846,AEB ASSOCIATES LIMITED,,09044745
312742,ANNEX EXCHANGE LIMITED,LONDON,10233875
781536,CAMHUN ACCOUNTING LTD,,10894024
358032,ARL COMMODITIES LIMITED,,08689777
74852,A & R CATERING LTD,WEST MIDLANDS,10201549
15009,168MEDIA LTD,,12738543
663904,BRANAS ISAF (DEWIS CYFARFOD & CYSGOD CYFARFOD) LIMITED,HERTFORDSHIRE,04828115
790406,CANWICK UK LTD,,11947298
58133,5RV LIMITED,,11049703
33589,2SQUEAKYCLEAN LTD,,12701092
827725,CATE ANDERSON COPYWRITER LTD,,10799660
658373,BRACKEN HOMES LTD,SURREY,11356338
81102,A HERITAGE WINDOW CO. LTD,,10844463
443409,AXIOM INTEGRATED SERVICES LTD,LONDON,07421591
411507,ATLAS HIGH PERFORMANCE ACADEMY LTD.,,12319790
764488,CADSOFT CONSULTANTS LIMITED,,03522772
390205,ASONS LIMITED,,11173585
332784,APPLIED WINDOWS DOORS AND PLASTICS LTD,,11946799
664551,BRAND HIPPO LIMITED,,10243751
753520,C&H NAILS SUPPLY LIMITED,,12097943
436448,AVIVA COMMERCIAL FINANCE LIMITED,,02559391
833519,CAZMEL SOLUTIONS LTD,LANARKSHIRE,SC584709
289757,AN ELEGANT SOLUTION LIMITED,WEST MIDLANDS,08055793
47949,42 LIMES GROVE RTM COMPANY LIMITED,,12107752
304893,ANGELS INVESTMENTS LTD,,12211829
385797,ASHTON UNITED IN THE COMMUNITY,,CE006203
599005,BLACKLEDGE LTD,,12395867
507569,BBA CONSULTING LTD,SOUTH YORKSHIRE,04284394
716541,BUCKINGHAM BROWN LIMITED,ISLE OF WIGHT,07814516
275732,AMBIT CHALK FARM LTD,,09552947
96064,A.B. RACING LIMITED,SUFFOLK,04651021
466466,BACKUS GROUP LIMITED,OXFORDSHIRE,09859165
291266,ANAMAK LTD,EAST SUSSEX,12163315
188999,AGENDA ELECTRICAL LIMITED,,07318120
691884,BRITISH SOCIETY FOR COLPOSCOPY AND CERVICAL PATHOLOGY,,CE020817
695507,BROADWALK PARTNER LIMITED,,06271509
402094,ASTONMONT LIMITED,,09211403
168051,ADRIAWILDLIFE TOURS LIMITED,SOMERSET,11827454
784964,CANAL SIDE MEWS MANAGEMENT LIMITED,,03983879
670807,BRECKNOCK FISH LTD,,11601958
538917,BELOW THE BELT LTD,,12609695
270971,AMANDAVID LTD,SOUTH YORKSHIRE,11289042
517050,BEANNCHOR SOLUTIONS LIMITED,,NI604493
37025,32 SISTERS MANAGEMENT LIMITED,,03850244
151435,ACTON LOCKSMITHS LIMITED,,04781091
501574,BATH STREET BARS LIMITED,,07812363
668181,BRAVO THREE LTD,,12822095
119162,ABDEEN (U.K.) LIMITED,,02037422
776535,CAMBERLEY HEALTHCARE LLP,SURREY,OC377731
650595,BOURNEVILLE LTD,DORSET,09111932
383462,ASHLEIGH MANOR RESIDENTIAL CARE HOME LTD,DEVON,04707539
331943,APPLIA CONSULTING & MANAGEMENT SERVICES LIMITED,CAMBRIDGESHIRE,08308393
824595,CASTLEBRIDGE GROUP LIMITED,,04701074
71483,@ CLEEVE HILL LTD,SOMERSET,11723541
7481,111 QR FREEHOLD LIMITED,WEST SUSSEX,11058260
239960,ALISON PAUL DESIGNS LIMITED,MERSEYSIDE,06472307
340168,AR OFFSHORE SERVICES LIMITED,NORFOLK,11580400
442384,AXA ROSENBERG GLOBAL INVESTMENT COMPANY ICVC,,IC000028
264775,ALTORFER FINANCIAL MANAGEMENT LIMITED,"HERTS,",02486396
369698,ARTIGIANO LIMITED,,11052691
676921,BRICKSMORTAR INVESTMENTS LIMITED,,05344844
472080,BAKER HUGHES PRESSURE CONTROL LIMITED,,SC057020
376074,ASC & JKC GROUP LTD,,12770108
37462,33 HURON ROAD LIMITED,,06628510
673697,BREW BROTHERS (KENDAL) LTD,,06705728
458235,B-TWN INTERNATIONAL LIMITED,,09689458
33389,2PM CONSULTANTS LTD,DEVON,11726407
777928,CAMBRIDGE EDUCATION CORPORATION LIMITED,,11562064
90625,A&B DELIVERIES LTD,,12932499
789207,CANOVA HOME AND FRAGRANCE LIMITED,HEREFORDSHIRE,05643353
801843,CARE & SUPPORT SOLUTIONS (NORTH EAST) LIMITED,CLEVELAND,07574907
805284,CARGLASS INSTALLATIONS LTD,,12827699
19250,1ST AID YORKSHIRE LIMITED,WEST YORKSHIRE,06514867
195953,AHK SPORTS LIMITED,DERBYSHIRE,12777384
611417,BLS BUILDERS LTD,,10034024
520335,BEAUMONT LEAF LIMITED,NORTHUMBERLAND,11307562
285366,AMPARK SERVICES LTD,,12126222
790844,CAPABLE CONSULTANTS LIMITED,,08205976
510519,BCLFC LIMITED,LEICESTERSHIRE,07314555
133704,"ACCESS ADVERTISING, MARKETING AND DESIGN LIMITED",LANCASHIRE,03805636
650004,BOURNE END PARADE TAXIS LTD,,11408249
297832,ANDREW GREGORY PARTNERSHIP LTD,,08873370
300174,ANDRIOS LIMITED,,08041849
793439,CAPITAL INVESTMENTS & SECURITIES LIMITED,HAMPSHIRE,03837667
704520,BROTHER HOLME LTD,,11516300
211574,AK FURNITURE LTD,,12577906
5805,105 HOLLAND ROAD FREEHOLD LIMITED,MIDDLESEX,05230805
272962,AMAZON KINGFISHER LIMITED,GLOUCESTERSHIRE,06957987
306307,ANGLIAN HOG ROAST COMPANY LIMITED,NORFOLK,10707544
261513,ALSAMANDL LTD,,11096560
221536,"ALANTRA CAPITAL MARKETS, SOCIEDAD DE VALORES, S.A.",,FC034163
396475,ASSOCIATED SUB-CONTRACTORS IN LIMITED PARTNERSHIP WITH ADAM BRACKLEY,,LP011289
82961,A K NEWS LTD,WARWICKSHIRE,09977656
205543,AIY-STAT SCIENCES LTD.,,09509706
176528,AEGIS FIRE SECURITY AND ELECTRICAL LTD,,SC667971
259994,ALPHATRONIC ELECTRONICS LIMITED,,01896475
597031,BLACK&WHITE SECURITY SOLUTIONS LIMITED,,12830853
169821,ADVANCE ELECTRICAL SPECIALIST LTD,,07259855
480821,BANDLAB UK LIMITED,,11417244
24600,21 STRATHEARN ROAD MANAGEMENT COMPANY LIMITED,,05842414
355724,ARISTO INFOTECH LTD,,09979033
708470,BRUMMIE LINES UK LTD,,10610999
141016,ACES FIRE LTD,NORFOLK,06862033
466628,BACONS COURT (ASHWELL) RESIDENTS ASSOCIATION LIMITED,HERTFORDSHIRE,01509195
566483,BH DRILLING SERVICES LTD,KENT,11109769
799149,CARBON CORRECTION SERVICES LTD,,09458693
598880,BLACKHURST CARE HOME LIMITED,,05772282
321817,AOS CONTRACTS LTD,COUNTY DOWN,NI636405
549254,BERKENLAAN LLP,,OC412730
578602,BIMCORP LIMITED,,12430831
60090,63 ST QUINTIN MANAGEMENT COMPANY LIMITED,HAMPSHIRE,09662690
373652,ARZAKI LTD,,12635326
549557,BERKSHIRE BLOOMS LTD,,12671802
317760,ANTIC HARE LTD,,09533805
294758,ANDERSON GEOTECHNICAL SERVICES LIMITED,,11203126
801840,CARE & SKILL PEST CONTROL LTD,SURREY,05500097
160281,ADE A'I GWMNI CYF,DYFED,06869809
111234,AAXRO LIMITED,MIDDLESEX,09869364
402719,ASTRAL LODGE LIMITED,,10265386
249934,ALLICA BANK LIMITED,,07706156
419204,AUK INVESTMENTS LIMITED,LANCASHIRE,00924673
837823,CCL-SOLUTIONS LIMITED,LINCOLNSHIRE,09680259
597996,BLACKDEN CONSULTING LIMITED,,12946848
380703,ASHBURNHAM INSURANCE SERVICES LIMITED,,03106521
47172,400 LONGWATER (UK) LIMITED,,12367901
836668,CC PROPCO LIMITED,,11097677
655728,BOZ GROUP LTD,,12837305
714688,BTR CONSTRUCTION LTD,,12651999
195369,AHAVAS YISRAEL LIMITED,MIDDLESEX,09831758
260178,ALPIN RECRUITMENT LIMITED,POULTON-LE-FYLDE,08916677
71799,A & A DUCTING SERVICES LIMITED,,05739759
281571,AMIGO REAL ESTATE LIMITED,,12837566
304226,ANGELCOCO LTD,,11564151
661121,BRAEMANOR LIMITED,"WEST LOTHIAN,",SC245387
191052,AGILITY NETWORKS LIMITED,BERKSHIRE,03483081
822201,CASTERTON LEISURE LIMITED,,02418974
65882,8 BITS BYTE LTD,,12533444
388413,ASK REAL ESTATE LIMITED,,08084031
753006,C&C CONSTRUCTION MARCH LIMITED,,11106890
323446,"APAX EUROPE V - H, L.P.",,LP007400
159969,ADDMAR LIMITED,,SC493951
353401,ARGYL MANAGEMENT LIMITED,CAMBRIDGESHIRE,04700659
180134,AETHER HEALTH LTD,,12101883
459824,B.I.TRADING POST,HAMPSHIRE,08002171
846680,CEMENT FIELDS,KENT,06272178
567575,BHCBIP LIMITED,,12932149
754705,C-MASE LIMITED,,08267254
70161,9281576 LIMITED,MANCHESTER,08321178
653856,BOX OF GOODNESS LTD,SHROPSHIRE,08453233
585606,BIRQA LTD,,12059702
775495,CALVERT'S PROPERTIES LIMITED,,11954085
814431,CARROT CAPABILITY LTD,,12135702
802074,CARE AND SUPPORT NORTH LIMITED,EAST YORKSHIRE,12359925
442241,AX FITNESS LTD,,11270818
645123,BOROUGHBRIDGE MARINA LIMITED,NORTH YORKSHIRE,05937876
298341,ANDREW LAMB LTD,,04135957
245817,ALL WORLD FOODS LIMITED,MIDDLESEX,02942848
233060,ALEXANDER VIVIAN WEALTH MANAGEMENT LTD,LONDON,10465754
345545,ARCHBOLD & EDWARDS LTD,,10154575
562425,BEWE BRADFORD LIMITED,,08462635
136900,ACCOUNTING SKILLS TRAINING UK LTD,DERBYSHIRE,04632062
523477,BEC INDIA LIMITED,,10177633
447847,AZ EXCHANGE LTD,,11957905
681802,BRIGHT CARS SALES LTD,HERTFORDSHIRE,10227575
509665,BC UK HOLDING LIMITED,,12811125
524059,BECKER ORTHOPEDIC UK LIMITED,CHESTERFIELD,05633278
721914,BUILDOLOGY LTD,,12478371
10771,13 STRATHBLAINE ROAD LIMITED,,05964213
465204,BACCHUS SYSTEMS LIMITED,,02520740
144672,ACORN LANE MANAGEMENT COMPANY LIMITED,ALTON,05698885
681327,BRIGGS (U.K.) LIMITED,,01800222
585150,BIRMINGHAM LIVER SURGEONS INTERNATIONAL LIMITED,,08698814
182172,AFFLUENTGREEN PVT LIMITED,,11433735
763463,CADDON HEALTHCARE LTD.,LANARKSHIRE,SC243381
506645,BAZAAR FURNITURE & FLOORING LTD,MERSEYSIDE,12985256
453158,B AESTHETIC CLINIC LIMITED,COVENTRY,10981750
787638,CANLINES LIMITED,,02588428
127122,ABSENCE CARE LIMITED,,SC245975
67554,84 MORNING LANE LIMITED,,08921052
28370,247 DISTRIBUTION LIMITED,,11464293
384186,ASHLEY SAWARD  CARPENTRY LTD,,12449321
781303,CAMERON TURBINE LTD,LONDONDERRY,NI628733
665790,BRANDON HEATING SERVICES LTD,SUFFOLK,07695299
125547,ABOUTMYWILL LTD,,12047609
103349,A1 PROPERTIES NORTHWEST LIMITED,,09176144
339078,AQUEL PROJECTS LIMITED,LONDON,09973027
327431,APM (FM) LTD.,,SC544386
536903,BELLEVUE STUDENT LIMITED,,09091889
284514,AMORCARE MOBILITY STORES LIMITED,STAFFORDSHIRE,06863053
465978,BACKABUSH XPLORERS LTD,BERKSHIRE,06741794
818441,CASABAR COMPANY LTD,ESSEX,09852773
408026,ATHERSTONE BUILDING SERVICES LTD,WARWICKSHIRE,10645929
192801,AGRI BALE LTD,,10770602
417107,AUDEEM LIMITED,,10549260
587330,BISON BIOTECH LIMITED,,12817814
150884,ACTIVE WATCH SECURITY SOLUTION LTD,,11559575
93989,A-Z PROPERTIES (SCOT) LTD,,SC639267
837928,CCM INTERNATIONAL LTD,,11875525
762681,CACKLER HARDING LIMITED,WEST SUSSEX,07648048
563333,BEYOND CLOUDS LTD,,09051058
514840,BEACHCOMBER CATERING (GY) LIMITED,,02050138
561544,BEULAH TRADING LIMITED,,09890627
210270,AJS ALPHA LIMITED,KENT,09903714
398265,ASSOCIATED SUB-CONTRACTORS IN LIMITED PARTNERSHIP WITH ROY SMITH,,LP010551
464610,BABYBALLET LIMITED,WEST YORKSHIRE,08055768
325017,APEX EVOLUTION LTD,,11689722
570123,BICYCLE AND SCOOTER WORLD LIMITED,,12563443
171327,ADVANCED FORM CONSULTING LTD,,12504159
662223,BRAINSPARK LTD,HERTFORDSHIRE,08961882
434521,AVG MEDICAL PROPERTIES LIMITED,ESSEX,07931027
537297,BELLISSIMO B LIMITED,,10330344
552937,BESPOKE  LOG HOMES LLP,ESSEX,OC428363
709461,BRUNTWOOD SCIENCE MANAGEMENT SERVICES LIMITED,,11283116
780166,CAMEDEE PROPERTIES LIMITED,GLAMORGAN,01265182
640071,BOOGIE BEAT MUSIC AND MOVEMENT LTD,SOMERSET,06388178
147296,ACS GROUNDWORKS LTD,HERTS,10525017
387110,ASIA TO UK LTD,,10495777
181618,AFFINITY ASSOCIATES ACCOUNTANCY LIMITED,,10560559
830216,CATS3 LIMITED,WARWICKSHIRE,05152172
71018,99 HATHERLEY ROAD MANAGEMENT COMPANY LIMITED,,06416779
103327,A1 PRODUCTIONS LLP,,SO305917
252202,ALLSHIP LIMITED,,12848908
623018,BLUESTONE SERVICES LTD,,10746253
260631,ALPINE TRAVEL LIMITED,,SC510789
736262,BUSYBOY LIMITED,SURREY,08364574
837287,CCEO INVESTMENTS LTD,,10402657
108956,AALIYAH'S BEAUTY BOX LIMITED,,11403346
236042,ALFURQAN FUNERAL SERVICE LTD,GREATER MANCHESTER,12887363
180131,AETHER GLOBAL LTD,WESTMIDLANDS,12282553
555111,BEST 4 HOMES LIMITED,WEST MIDLANDS,07994371
600688,BLACKTHORN CAPITAL INVESTMENT LTD.,,12142623
680599,BRIDGWATER TAXIS LIMITED,,12893841
102255,A1 AUDIO ASHFORD LIMITED,KENT,11008073
326192,APEXLINK LIMITED,KENT,04516119
334182,APRENDER VIVIENDO LTD,,11817265
501378,BATH LANE STUDIO LIMITED,,SC553216
810638,CARNVIEW HATCHERIES LIMITED,,NI013797
96617,A.C.ELECTRICALX LIMITED,,12910245
40970,38 ALDERNEY STREET LIMITED,,01642168
694562,BROADHURST LAND AND FARMS LIMITED,DERBYSHIRE,11699311
311221,ANNA CHRISTIAN LTD,,12090420
729833,BURPEE HOLDINGS LIMITED,SOUTH YORKSHIRE,08056954
492227,BARON BARON LTD,,12535322
680486,BRIDGNORTH CONSULTING LIMITED,BEDFORDSHIRE,09343772
394302,ASSENTA LIMITED,,SC217067
441771,AWOLSKI LIMITED,,09638345
567113,BHANGALS CONSTRUCTION CONSULTANTS LTD,,07379450
608052,BLOC MANAGEMENT CONSULTANTS LIMITED,SUFFOLK,02354977
310793,ANMIGO LTD,,12352140
233700,ALEXANDRA STADIUM (CREWE) LIMITED,CHESHIRE,05896445
706562,BROWNING ROAD LIMITED,MIDDLESEX,10819582
1219,01175729 LIMITED,CLEVELAND,01175729
178693,AEROMOUNT LTD,POWYS,07349003
73973,A & L FUNCTION SUITES LTD,,12491094
627179,BMS INTEGRATED SOLUTIONS LTD,,08408143
297921,ANDREW HAXTON & CO LIMITED,,05811916
16892,1821 INVESTMENTS LIMITED,,11772969
693934,BROADBENT & WEBB LIMITED,MID GLAMORGAN,07807444
175160,ADWAIZ LIMITED,BERKSHIRE,10030883
806980,CARL HALL TRANSPORT SERVICES LIMITED,DERBYSHIRE,08958460
390013,ASN ADEPT LTD,,12180156
359541,ARMARI HOLDING LIMITED,ESSEX,10861486
308700,ANIMA LONDON LTD,,12386285
181930,AFFINITY SERVICES LTD,GREATER LONDON,12664031
703326,BROOKSON (5962N) LIMITED,,06120848
10525,13 FINDEN ROAD RTM COMPANY LIMITED,,08573001
577269,BILLET WORLD LTD,,10240650
757941,C.L.M. ROOFING LIMITED,,SC228123
769964,CALCREST 2000 LIMITED,BUCKINGHAMSHIRE,03518917
266461,ALVI WELD LIMITED,,11082865
238495,ALIF CARPETS AND FURNISHERS LIMITED,LEICESTERSHIRE,04607584
172339,ADVANCED SCAFFOLD SAFETY INSPECTIONS LTD,,11077032
192642,AGR WIND 15 LIMITED,SURREY,09100371
746088,C & S BUILDERS LLP,NORFOLK,OC428119
123569,ABLA ARABIANS LTD,,SC550627
689510,BRITANIA ELETRONICOS S.A. LTD,,12006922
721040,BUILDING CRAFTS COLLEGE TRADING LIMITED,,07947857
657495,BQB SUBCO 1 LTD,MIDLOTHIAN,SC655172
157301,ADAPT COMMUNICATIONS LTD,,07598340
811756,CAROUSEL FUN LIMITED,,08129264
573584,BIG RED SCAFFOLDING LTD.,,11565945
288942,AMX SERVICES LIMITED,CONWY,04254147
545604,"BENSELL US FEEDER III, L.P.",,SL006601
672237,BRENNAN ACQUISITIONS FIVE LLP,KENT,OC428305
411351,ATLAS ELECTRO MECHANICAL LIMITED,LANCASHIRE,05457019
247772,ALLEN CHRISTOPHER WELDING LIMITED,MID GLAMORGAN,06767524
147602,ACT ALCOHOL LTD,,11411121
682599,BRIGHT MATTER RESOURCING LIMITED,WEST MIDLANDS,09320578
